"","date","StationNo","HomeTeam","AwayTeam","Season","Round","Description","Rainfall","RainfallBand"
"424","14/07/2007",23034,"Port Adelaide","West Coast",2007,"15","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1531","14/07/2007",86038,"Essendon","Western Bulldogs",2007,"15","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"845","14/07/2007",40913,"Melbourne","Brisbane Lions",2007,"15","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"1022","15/07/2007",66062,"Sydney","Carlton",2007,"15","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"1579","15/07/2007",86038,"Hawthorn","Richmond",2007,"15","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"80","15/07/2007",9225,"Fremantle","North Melbourne",2007,"15","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1842","20/07/2007",86038,"Geelong","Western Bulldogs",2007,"16","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1889","21/07/2007",86038,"Collingwood","Essendon",2007,"16","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"488","21/07/2007",23034,"Adelaide","Fremantle",2007,"16","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1888","21/07/2007",86038,"St Kilda","Hawthorn",2007,"16","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"157","21/07/2007",9225,"West Coast","Sydney",2007,"16","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"897","22/07/2007",40913,"Brisbane Lions","Carlton",2007,"16","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"1934","22/07/2007",86038,"Richmond","Port Adelaide",2007,"16","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1933","22/07/2007",86038,"North Melbourne","Melbourne",2007,"16","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2179","27/07/2007",86038,"Western Bulldogs","West Coast",2007,"17","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2233","28/07/2007",86038,"Carlton","St Kilda",2007,"17","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"240","28/07/2007",9225,"Fremantle","Geelong",2007,"17","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"2234","28/07/2007",86038,"Collingwood","Brisbane Lions",2007,"17","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1080","28/07/2007",66062,"Sydney","Richmond",2007,"17","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"2891","29/07/2007",91237,"Hawthorn","North Melbourne",2007,"17","  91237 LAUNCESTON (TI TREE BEND)                -41.4194  147.1219 May 1980 Apr 2017   37.0  100   Y",NA,"No Rainfall Data Available"
"2283","29/07/2007",86038,"Essendon","Adelaide",2007,"17","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"551","29/07/2007",23034,"Port Adelaide","Melbourne",2007,"17","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"2341","3/08/2007",86038,"Western Bulldogs","St Kilda",2007,"18","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2485","4/08/2007",86038,"Carlton","Collingwood",2007,"18","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2832","4/08/2007",87184,"Geelong","Richmond",2007,"18","  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y",NA,"No Rainfall Data Available"
"962","4/08/2007",40913,"Brisbane Lions","North Melbourne",2007,"18","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"585","4/08/2007",23034,"Adelaide","Port Adelaide",2007,"18","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1258","5/08/2007",70351,"Melbourne","Sydney",2007,"18","  70351 CANBERRA AIRPORT                         -35.3088  149.2004 Sep 2008 Apr 2017    8.7   98   Y",NA,"No Rainfall Data Available"
"2532","5/08/2007",86038,"Hawthorn","Essendon",2007,"18","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"309","5/08/2007",9225,"West Coast","Fremantle",2007,"18","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1351","10/08/2007",86038,"Richmond","Collingwood",2007,"19","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1397","11/08/2007",86038,"Hawthorn","Brisbane Lions",2007,"19","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"400","11/08/2007",23034,"Port Adelaide","Carlton",2007,"19","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1396","11/08/2007",86038,"Melbourne","Western Bulldogs",2007,"19","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1130","11/08/2007",66212,"Sydney","St Kilda",2007,"19","  66212 SYDNEY OLYMPIC PARK AWS (ARCHERY CENTRE) -33.8338  151.0718 Sep 2011 Apr 2017    5.7   99   Y",NA,"No Rainfall Data Available"
"1441","12/08/2007",86038,"North Melbourne","West Coast",2007,"19","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2750","12/08/2007",87184,"Geelong","Adelaide",2007,"19","  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y",NA,"No Rainfall Data Available"
"44","12/08/2007",9225,"Fremantle","Essendon",2007,"19","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
