,Playing.for,First.name,Surname,ID,Name
4127,Essendon,Mark,Baguley,12107,Mark Baguley
4128,Essendon,Elliott,Kavanagh,12120,Elliott Kavanagh
4129,Essendon,Brendan,Lee,12124,Brendan Lee
4130,Essendon,Nick,OBrien,12131,Nick OBrien
4131,Essendon,Jackson,Merrett,12136,Jackson Merrett
4132,Essendon,Brendon,Goddard,1443,Brendon Goddard
4133,Essendon,Nick,Kommer,12138,Nick Kommer
4134,Essendon,Will,Hams,12195,Will Hams
4135,Essendon,Joe,Daniher,12199,Joe Daniher
4136,Essendon,Lauchlan,Dalgleish,12223,Lauchlan Dalgleish
4137,Essendon,Patrick,Ambrose,12239,Patrick Ambrose
4138,Essendon,Paul,Chapman,614,Paul Chapman
4139,Essendon,Martin,Gleeson,12240,Martin Gleeson
4140,Essendon,Zach,Merrett,12241,Zach Merrett
4141,Essendon,Jason,Ashby,12259,Jason Ashby
4142,Essendon,Dylan,van Unen,12266,Dylan van Unen
4143,Essendon,Kurt,Aylett,12117,Kurt Aylett
4144,Essendon,Orazio,Fantasia,12302,Orazio Fantasia
4145,Essendon,Ariel,Steinberg,12306,Ariel Steinberg
4146,Essendon,Adam,Cooney,3940,Adam Cooney
4147,Essendon,James,Gwilt,4143,James Gwilt
4148,Essendon,Kyle,Langford,12349,Kyle Langford
4149,Essendon,Shaun,McKernan,11774,Shaun McKernan
4150,Essendon,Shaun,Edwards,12058,Shaun Edwards
4151,Essendon,Jayden,Laverde,12377,Jayden Laverde
4152,Essendon,Jonathan,Giles,12019,Jonathan Giles
4153,Essendon,Conor,McKenna,12391,Conor McKenna
4154,Essendon,Craig,Bird,11635,Craig Bird
4155,Essendon,Mitch,Brown,11987,Mitch Brown
4156,Essendon,Ryan,Crowley,4115,Ryan Crowley
4157,Essendon,Matt,Dea,11829,Matt Dea
4158,Essendon,James,Kelly,1141,James Kelly
4159,Essendon,Matthew,Leuenberger,11593,Matthew Leuenberger
4160,Essendon,Anthony,McDonald-Tipungwuti,12407,Anthony McDonald-Tipungwuti
4161,Essendon,Darcy,Parish,12406,Darcy Parish
4162,Essendon,Jonathan,Simpkin,12086,Jonathan Simpkin
4163,Essendon,Mathew,Stokes,4181,Mathew Stokes
4164,Essendon,Michael,Hartley,12419,Michael Hartley
4165,Essendon,Sam,Grimley,12193,Sam Grimley
4166,Essendon,James,Polkinghorne,11658,James Polkinghorne
4167,Essendon,Nathan,Grima,11754,Nathan Grima
